number	id	name	slug	category	sports_count	scenarios_count	sports	scenarios	moq
0022	2AAOYF03	Custom All-Over Print Bucket Hat	all-over-print-bucket-hat	Cap	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0023	2AMSMG90	Custom All-Over Print Baseball Cap	all-over-print-baseball-cap	Cap	41	13	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Corporate & Branding,Team & Club,Event & Festival,School & Education,Fundraiser & Charity,Retail & Fashion,Uniform & Workwear,Music & Merch,Sports League,Wedding & Party,Gift & Souvenir,Promotional Swag,Political Campaign	50
0024	3MPXDK57	Custom All-Over Print Soccer Jersey Kit (Shirt + Shorts)	all-over-print-soccer-jersey-kit	Sportswear	1	5	Soccer	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0025	3MBXVL01	Custom All-Over Print Basketball Jersey Kit (Reversible option)	all-over-print-basketball-jersey-kit	Sportswear	1	5	Basketball	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0026	3MBXGT28	Custom All-Over Print Badminton Outfit	all-over-print-badminton-outfit	Sportswear	1	5	Badminton	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0027	3MTXLB56	Custom All-Over Print Hockey Jersey	all-over-print-hockey-jersey	Sportswear	1	5	Hockey	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0028	3MBXGT27	Custom All-Over Print Running Wear (Shirt + Shorts)	all-over-print-running-wear-kit	Sportswear	2	5	Running,Athletics	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0029	3MTXUB79	Custom All-Over Print Cycling Wear Kit (Jersey + Bib Shorts)	all-over-print-cycling-wear-kit	Sportswear	1	5	Cycling	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0030	3CPXX001	Custom All-Over Print Yoga Wear Set (Top + Leggings)	all-over-print-yoga-wear-set	Sportswear	2	5	Yoga,Pilates	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0031	3KYYOP05	Custom All-Over Print Swimwear (One-Piece / Bikini / Trunks)	all-over-print-swimwear-one-piece	Sportswear	4	5	Swimwear,Surf,Beach,Dive	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0032	3KCSFH01	Custom All-Over Print Golf Polo Shirt	all-over-print-golf-polo-shirt	Polo Shirt	1	5	Golf	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0033	3MBSBL01	Custom All-Over Print Baseball Jersey Kit (Shirt + Pants)	all-over-print-baseball-jersey-kit	Sportswear	2	5	Baseball,Softball	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0034	3MFBJK01	Custom All-Over Print American Football Jersey	all-over-print-american-football-jersey	Sportswear	1	5	Football	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0035	3MRGJK01	Custom All-Over Print Rugby Jersey	all-over-print-rugby-jersey	Sportswear	1	5	Rugby	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0036	3MVBJK01	Custom All-Over Print Volleyball Jersey Kit	all-over-print-volleyball-jersey-kit	Sportswear	1	5	Volleyball	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0037	3MTNJK01	Custom All-Over Print Tennis Outfit (Shirt + Skirt/Shorts)	all-over-print-tennis-outfit	Sportswear	1	5	Tennis	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0038	3MTTJK01	Custom All-Over Print Table Tennis Outfit	all-over-print-table-tennis-outfit	Sportswear	1	5	Table Tennis	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0039	3MCKJK01	Custom All-Over Print Cricket Jersey	all-over-print-cricket-jersey	Sportswear	1	5	Cricket	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0040	3MLC001	Custom All-Over Print Lacrosse Jersey	all-over-print-lacrosse-jersey	Sportswear	1	5	Lacrosse	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0041	3MSB001	Custom All-Over Print Softball Jersey	all-over-print-softball-jersey	Sportswear	1	5	Softball	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0042	3MSF001	Custom All-Over Print Surf Lycra Top (Rash Guard)	all-over-print-surf-lycra-top	Sportswear	3	5	Surf,Swimwear,Beach	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0045	3MKT001	Custom All-Over Print Skate T-Shirt	all-over-print-skate-t-shirt	T-Shirt	2	5	Skate,Skating	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0046	3MBX001	Custom All-Over Print Boxing Shorts	all-over-print-boxing-shorts	Sportswear	3	5	Boxing,MMA,Martial Arts	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0047	3MWR001	Custom All-Over Print Wrestling Singlet	all-over-print-wrestling-singlet	Sportswear	2	5	Wrestling,MMA	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0048	3MMA001	Custom All-Over Print MMA Fight Shorts	all-over-print-mma-fight-shorts	Sportswear	3	5	MMA,Boxing,Martial Arts	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0049	3MMA002	Custom All-Over Print Martial Arts Gi	all-over-print-martial-arts-gi	Sportswear	1	5	Martial Arts	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0050	3MPL001	Custom All-Over Print Pilates Set (Top + Leggings)	all-over-print-pilates-top-leggings	Sportswear	2	5	Pilates,Yoga	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0051	3MDC001	Custom All-Over Print Dance Leotard	all-over-print-dance-leotard	Sportswear	3	5	Dance,Cheer,Gym	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0052	3MCR001	Custom All-Over Print Cheer Uniform (Top + Skirt)	all-over-print-cheer-uniform	Sportswear	2	5	Cheer,Dance	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0054	3MBW001	Custom All-Over Print Bowling Shirt	all-over-print-bowling-shirt	Polo Shirt	1	5	Bowling	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0055	3MES001	Custom All-Over Print Esports Jersey	all-over-print-esports-jersey	Sportswear	1	5	Esports	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0056	3MTR001	Custom All-Over Print Triathlon Suit (One-Piece)	all-over-print-triathlon-suit	Sportswear	3	5	Triathlon,Cycling,Running	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0057	3MAF001	Custom All-Over Print Australian Rules (AFL) Jersey	all-over-print-australian-rules-jersey	Sportswear	1	5	AFL	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0058	3MNB001	Custom All-Over Print Netball Dress (Bib Style)	all-over-print-netball-dress	Sportswear	1	5	Netball	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0059	3MAT001	Custom All-Over Print Athletics Singlet (Track & Field)	all-over-print-athletics-singlet	Sportswear	2	5	Athletics,Running	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0060	3MFS001	Custom All-Over Print Fishing Shirt (UPF 50+)	all-over-print-fishing-shirt-upf50	Sportswear	1	5	Fishing	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0061	3MGM001	Custom All-Over Print Gym Tank Top	all-over-print-gym-tank-top	Tank Top & Camis	3	5	Gym,CrossFit,Athletics	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0062	3MDV001	Custom All-Over Print Dive Lycra Suit	all-over-print-dive-lycra-suit	Sportswear	3	5	Dive,Surf,Swimwear	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0063	3MSK002	Custom All-Over Print Skating Dress (Figure / Roller)	all-over-print-skating-dress	Sportswear	1	5	Skating	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0064	2HBTSJ19	Custom All-Over Print Beach Sports Jersey (Volleyball / Soccer / Rugby)	all-over-print-beach-sports-jersey	Sportswear	4	5	Beach,Volleyball,Soccer,Rugby	Team & Club,Event & Festival,Sports League,School & Education,Promotional Swag	50
0065	3WEXPL01	Custom All-Over Print Express & Logistics Polo Shirt	all-over-print-express-logistics-polo-shirt	Polo Shirt	0	4		Uniform & Workwear,Corporate & Branding,Construction & Engineering,Express & Logistics	50
0066	3WEXPL02	Custom All-Over Print Express & Logistics T-Shirt	all-over-print-express-logistics-t-shirt	T-Shirt	0	3		Uniform & Workwear,Express & Logistics,Corporate & Branding	50
0067	3WEXPL03	Custom All-Over Print Express & Logistics Hoodie	all-over-print-express-logistics-hoodie	Hoodie	0	3		Uniform & Workwear,Express & Logistics,Corporate & Branding	50
0068	3WCON01	Custom All-Over Print Construction Hoodie (Hi-Vis Option)	all-over-print-construction-hoodie	Hoodie	0	3		Construction & Engineering,Uniform & Workwear,Construction & Engineering	50
0069	3WCON02	Custom All-Over Print Construction Jacket (Insulated)	all-over-print-construction-jacket	Jacket	0	2		Construction & Engineering,Uniform & Workwear	50
0070	3WCON03	Custom All-Over Print Construction Pants (Cargo)	all-over-print-construction-pants	Pants	0	2		Construction & Engineering,Uniform & Workwear	50
0071	3WCON04	Custom All-Over Print Construction T-Shirt (Hi-Vis Option)	all-over-print-construction-t-shirt	T-Shirt	0	2		Construction & Engineering,Uniform & Workwear	50
0072	3WHOS01	Custom All-Over Print Hospitality & F&B Polo Shirt	all-over-print-hospitality-polo-shirt	Polo Shirt	0	3		Hospitality & F&B,Uniform & Workwear,Corporate & Branding	50
0073	3WHOS02	Custom All-Over Print Hospitality & F&B T-Shirt	all-over-print-hospitality-t-shirt	T-Shirt	0	2		Hospitality & F&B,Uniform & Workwear	50
0074	3WHOS03	Custom All-Over Print Hospitality & F&B Sweatshirt	all-over-print-hospitality-sweatshirt	Sweatshirt	0	2		Hospitality & F&B,Uniform & Workwear	50
0075	3WMED01	Custom All-Over Print Medical & Healthcare Scrubs T-Shirt	all-over-print-medical-scrubs-t-shirt	T-Shirt	0	2		Medical & Healthcare,Uniform & Workwear	50
0076	3WMED02	Custom All-Over Print Medical & Healthcare Polo Shirt	all-over-print-medical-polo-shirt	Polo Shirt	0	2		Medical & Healthcare,Uniform & Workwear	50
0078	3WSEC01	Custom All-Over Print Security & Property Polo Shirt	all-over-print-security-polo-shirt	Polo Shirt	0	3		Security & Property,Uniform & Workwear,Construction & Engineering	50
0079	3WSEC02	Custom All-Over Print Security & Property Hoodie	all-over-print-security-hoodie	Hoodie	0	2		Security & Property,Uniform & Workwear	50
0080	3WSEC03	Custom All-Over Print Security & Property Jacket	all-over-print-security-jacket	Jacket	0	2		Security & Property,Uniform & Workwear	50
0081	3WRTL01	Custom All-Over Print Retail & Supermarket Polo Shirt	all-over-print-retail-polo-shirt	Polo Shirt	0	3		Retail & Supermarket,Uniform & Workwear,Retail & Fashion	50
0082	3WRTL02	Custom All-Over Print Retail & Supermarket T-Shirt	all-over-print-retail-t-shirt	T-Shirt	0	3		Retail & Supermarket,Uniform & Workwear,Retail & Fashion	50
