number	id	name	slug	category	sports_count	scenarios_count	sports	scenarios	moq
0116	NEWAOP0014	Custom All-Over Print Trade Show & Display Polo shirt	all-over-print-trade-show-display-polo-shirt	Polo Shirt	41	2	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Event & Festival,Corporate & Branding	50
0117	NEWAOP0015	Custom All-Over Print Trade Show & Display Hoodie	all-over-print-trade-show-display-hoodie	Hoodie	0	2		Event & Festival,Corporate & Branding	50
0118	NEWAOP0016	Custom All-Over Print Trade Show & Display Cap	all-over-print-trade-show-display-cap	Cap	0	2		Event & Festival,Corporate & Branding	50
0119	NEWAOP0017	Custom All-Over Print Political Campaigns T-shirt	all-over-print-political-campaigns-t-shirt	T-Shirt	0	1		Political Campaign	50
0120	NEWAOP0018	Custom All-Over Print Political Campaigns Polo shirt	all-over-print-political-campaigns-polo-shirt	Polo Shirt	41	1	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Political Campaign	50
0121	NEWAOP0019	Custom All-Over Print Political Campaigns Hoodie	all-over-print-political-campaigns-hoodie	Hoodie	0	1		Political Campaign	50
0122	NEWAOP0020	Custom All-Over Print Political Campaigns Cap	all-over-print-political-campaigns-cap	Cap	0	1		Political Campaign	50
0124	NEWAOP0021	Custom All-Over Print Medical & Healthcare Nurse Skirt	all-over-print-medical-healthcare-nurse-skirt	Skirt	41	1	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Medical & Healthcare	50
0125	NEWAOP0022	Custom All-Over Print Medical & Healthcare Jacket	all-over-print-medical-healthcare-jacket	Jacket	0	1		Medical & Healthcare	50
0126	NEWAOP0023	Custom All-Over Print Transit & Transport T-shirt	all-over-print-transit-transport-t-shirt	T-Shirt	41	2	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Transit & Transport,Sports League	50
0127	NEWAOP0024	Custom All-Over Print Studio & Gym Hoodie	all-over-print-studio-gym-hoodie	Hoodie	41	1	AFL,Athletics,Badminton,Baseball,Basketball,Beach,Bowling,Boxing,Cheer,Cricket,CrossFit,Cycling,Dance,Dive,Esports,Fishing,Football,Golf,Gym,Hockey,Lacrosse,MMA,Martial Arts,Netball,Pilates,Rugby,Running,Skate,Skating,Ski,Snowboard,Soccer,Softball,Surf,Swimwear,Table Tennis,Tennis,Triathlon,Volleyball,Wrestling,Yoga	Studio & Gym	50
